data,diagnosed,dead,recovered
2/25/2020,0,0,0
2/26/2020,1,0,0
2/27/2020,0,0,0
2/28/2020,0,0,0
2/29/2020,1,0,0
3/1/2020,0,0,0
3/2/2020,0,0,0
3/3/2020,0,0,0
3/4/2020,1,0,0
3/5/2020,4,0,0
3/6/2020,6,0,0
3/7/2020,6,0,0
3/8/2020,6,0,0
3/9/2020,0,0,0
3/10/2020,9,0,0
3/11/2020,18,0,0
3/12/2020,25,0,0
3/13/2020,21,0,1
3/14/2020,23,0,0
3/15/2020,79,0,1
3/16/2020,34,0,0
3/17/2020,57,1,0
3/18/2020,137,3,0
3/19/2020,193,2,0
3/20/2020,283,5,0
3/21/2020,224,7,0
3/22/2020,418,7,0
3/23/2020,345,9,0
3/24/2020,310,12,0
3/25/2020,232,11,0
3/26/2020,482,20,4
3/27/2020,502,15,0
3/28/2020,486,22,0
3/29/2020,353,22,0
3/30/2020,323,23,114
3/31/2020,1138,42,7
4/1/2020,1117,40,0
4/2/2020,1076,58,0
4/3/2020,1146,60,0
4/4/2020,1222,73,0
4/5/2020,852,54,0
4/6/2020,926,67,0
4/7/2020,1661,114,0
4/8/2020,2210,133,0
4/9/2020,1930,141,46
4/10/2020,1781,115,0
4/11/2020,1089,68,0
4/12/2020,1442,99,0
4/13/2020,1261,105,0
4/14/2020,1832,204,13853
4/15/2020,3058,204,0
4/16/2020,2105,188,0
4/17/2020,3257,217,0
4/18/2020,2917,206,0
4/19/2020,2055,115,8104
4/20/2020,1927,113,861
4/21/2020,2498,166,1334
4/22/2020,2678,165,993
4/23/2020,3735,407,1255
4/24/2020,3503,357,1082
4/25/2020,5514,346,1505
4/26/2020,3379,189,992
4/27/2020,4613,338,990
4/28/2020,5385,474,1402
4/29/2020,6276,449,1588
4/30/2020,7218,435,1803
5/1/2020,5919,428,2104
5/2/2020,5097,395,2898
5/3/2020,4751,301,2054
5/4/2020,6633,296,2195
5/5/2020,6935,600,3035
5/6/2020,10503,614,3149
5/7/2020,9888,611,3980
5/8/2020,10222,749,3947
5/9/2020,10611,732,2388
5/10/2020,6760,496,3272
5/11/2020,5632,396,2427
5/12/2020,9258,881,5213
5/13/2020,11385,749,5827
5/14/2020,13944,844,1055
5/15/2020,15305,824,5491
5/16/2020,14919,816,4702
5/17/2020,7938,485,4450
5/18/2020,13140,674,6337
5/19/2020,17408,1179,6335
5/20/2020,19951,888,9889
5/21/2020,18508,1188,9277
5/22/2020,20803,999,9470
5/23/2020,16508,967,7157
5/24/2020,15813,653,7324
5/25/2020,11687,807,3922
5/26/2020,16324,1039,4760
5/27/2020,20599,1086,8054
5/28/2020,26417,1156,10957
5/29/2020,26928,1124,11872
5/30/2020,33274,956,11416
5/31/2020,15760,480,5663
6/1/2020,12247,623,4525
6/2/2020,28936,1262,12558
6/3/2020,28633,1349,14979
6/4/2020,30925,1473,16346
6/5/2020,30830,1005,11977
6/6/2020,27075,904,10209
6/7/2020,18912,525,6803
6/8/2020,15654,679,6088
6/9/2020,32091,1272,21024
6/10/2020,32913,1274,14331
6/11/2020,30412,1239,20200
6/12/2020,25982,909,19468
6/13/2020,21704,892,14182
6/14/2020,17110,612,9247
6/15/2020,20647,627,23760
6/16/2020,34918,1282,29477
6/17/2020,32188,1269,21745
6/18/2020,22765,1238,18628
6/19/2020,54771,1206,25098
6/20/2020,34666,1022,13534
6/21/2020,17459,641,28652
6/22/2020,21432,654,22263
6/23/2020,39436,1374,41696
6/24/2020,42725,1185,36563
6/25/2020,39483,1141,23821
6/26/2020,46860,990,23797
6/27/2020,38693,1109,18379
6/28/2020,30476,552,17943
6/29/2020,24052,692,23614
6/30/2020,33846,1280,32578
7/1/2020,46712,1038,36826
7/2/2020,48105,1252,25950
7/3/2020,42223,1290,15556
7/4/2020,37923,1091,7987
7/5/2020,26051,602,29927
7/6/2020,20229,620,21006
7/7/2020,45305,1254,49685
7/8/2020,44571,1223,43924
7/9/2020,42619,1220,33142
7/10/2020,45048,1214,24720
7/11/2020,39023,1071,22110
7/12/2020,24831,631,22331
7/13/2020,20286,733,31633
7/14/2020,41857,1300,54371
7/15/2020,39924,1233,46356
7/16/2020,45403,1322,40764
7/17/2020,34177,1163,24708
7/18/2020,28532,921,21326
7/19/2020,23529,716,28867
7/20/2020,20257,632,37973
7/21/2020,41008,1367,56768
7/22/2020,67860,1284,66168
7/23/2020,59961,1311,38099
7/24/2020,55891,1156,22044
7/25/2020,51147,1211,25199
7/26/2020,24578,555,16794
7/27/2020,23284,614,33393
7/28/2020,40816,921,53893
7/29/2020,69074,1595,65193
7/30/2020,57837,1129,37342
7/31/2020,52383,1212,19956
8/1/2020,45392,1088,21678
8/2/2020,25800,541,17948
8/3/2020,16641,561,28642
8/4/2020,51603,1154,58448
8/5/2020,55676,1421,49870
8/6/2020,54615,1253,60279
8/7/2020,50230,1079,-12522
8/8/2020,49970,905,25899
8/9/2020,23010,572,24167
8/10/2020,22048,703,45352
8/11/2020,52160,1274,79312
